GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	LRRC37A2	LRRC37A2	SCZ	Wald ratio	1	-14.72976662	0.369422561	1.00E-299	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	LRRC37A	LRRC37A	SCZ	Wald ratio	1	-14.03139648	0.379734553	7.14E-299	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ARL17B	ARL17B	SCZ	Wald ratio	1	-14.02608424	0.379800339	1.52E-298	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	STRC	STRC	SCZ	Wald ratio	1	-12.81078027	0.460301697	1.82E-170	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	NAGA	NAGA	SCZ	Wald ratio	1	9.838463298	0.370775212	3.84E-155	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	WBP2NL	WBP2NL	SCZ	Wald ratio	1	9.75511853	0.371598445	6.82E-152	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	SNX19	SNX19	SCZ	Wald ratio	1	10.90774477	0.47957014	1.61E-114	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ARL17A	ARL17A	SCZ	Wald ratio	1	-9.740983175	0.428301235	1.67E-114	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	INO80E	INO80E	SCZ	Wald ratio	1	8.159736505	0.37627053	2.79E-104	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	GATAD2A	GATAD2A	SCZ	Wald ratio	1	-7.475101918	0.36310159	3.60E-94	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	PCCB	PCCB	SCZ	Wald ratio	1	-8.962324316	0.451137722	8.01E-88	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	NEK4	NEK4	SCZ	Wald ratio	1	6.452005	0.325429825	1.77E-87	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	NAT8	NAT8	SCZ	Wald ratio	1	9.723550449	0.49360906	2.20E-86	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	SLCO4C1	SLCO4C1	SCZ	Wald ratio	1	-9.554374069	0.493758669	2.03E-83	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	FAM83H	FAM83H	SCZ	Wald ratio	1	9.350465639	0.500957302	9.50E-78	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	SNORC	SNORC	SCZ	Wald ratio	1	6.417341786	0.354912348	4.46E-73	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	CYP7B1	CYP7B1	SCZ	Wald ratio	1	-10.00786529	0.580232193	1.16E-66	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	GOLGA6L9	GOLGA6L9	SCZ	Wald ratio	1	-7.090076731	0.463764118	9.18E-53	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ZSCAN29	ZSCAN29	SCZ	Wald ratio	1	-7.496721059	0.502165985	2.14E-50	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	QPCT	QPCT	SCZ	Wald ratio	1	7.749669235	0.519748619	2.82E-50	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	GNL3	GNL3	SCZ	Wald ratio	1	4.908065915	0.335340034	1.65E-48	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	THOC7	THOC7	SCZ	Wald ratio	1	-6.740372183	0.475326928	1.21E-45	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ZNF823	ZNF823	SCZ	Wald ratio	1	6.994185011	0.495912588	3.61E-45	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	MAPK3	MAPK3	SCZ	Wald ratio	1	5.546201079	0.39361829	4.36E-45	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	FURIN	FURIN	SCZ	Wald ratio	1	-4.232005599	0.314967261	3.70E-41	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	SLX1B	SLX1B	SCZ	Wald ratio	1	-5.205490477	0.395362008	1.37E-39	Trait -> xQTL	MetaBrain	Brain_eQTL
